"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos"
83452140;"30/03/16";"Quarta";"08:50:00";"SP";116;"303";"SAO LOURENCO DA SERRA";"Falta de atenção";"Queda de motocicleta / bicicleta / veículo";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Reta";"Rural";2;0;1;0;1;0;1;2
83452141;"29/03/16";"Terça";"22:00:00";"PR";277;"345,1";"GUARAPUAVA";"Falta de atenção";"Colisão com objeto fixo";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Simples";"Reta";"Urbano";1;0;1;0;0;0;1;1
83452142;"30/03/16";"Quarta";"06:50:00";"PR";376;"461,4";"PONTA GROSSA";"Falta de atenção";"Saída de Pista";"Sem Vítimas";"Amanhecer";"Crescente";"Nevoeiro/neblina";"Simples";"Reta";"Rural";1;0;0;0;1;0;0;1
83452143;"22/03/16";"Terça";"11:30:00";"PR";476;"284";"SAO MATEUS DO SUL";"Outras";"Colisão Transversal";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Chuva";"Simples";"Reta";"Rural";2;1;0;0;1;0;0;2
83452144;"30/03/16";"Quarta";"13:00:00";"RS";116;"246";"SAO LEOPOLDO";"Outras";"Atropelamento de animal";"Sem Vítimas";"Pleno dia";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Urbano";1;0;0;0;1;0;0;1
83452145;"24/03/16";"Quinta";"09:30:00";"GO";60;"320";"ACREUNA";"Velocidade incompatível";"Colisão com objeto fixo";"Sem Vítimas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva";"Rural";1;0;0;0;1;0;0;1
83452146;"30/03/16";"Quarta";"07:50:00";"SC";282;"213,6";"LAGES";"Falta de atenção";"Colisão traseira";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Sol";"Simples";"Reta";"Urbano";2;0;0;1;1;0;1;2
83452147;"30/03/16";"Quarta";"12:00:00";"RJ";40;"117";"DUQUE DE CAXIAS";"Dormindo";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Ceu Claro";"Múltipla";"Reta";"Urbano";3;0;2;0;1;0;2;2
83452149;"30/03/16";"Quarta";"11:30:00";"CE";116;"72";"CHOROZINHO";"Falta de atenção";"Saída de Pista";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Reta";"Rural";1;0;1;0;0;0;1;1
83452150;"26/03/16";"Sábado";"22:05:00";"CE";222;"251,5";"SOBRAL";"Não guardar distância de segurança";"Colisão traseira";"Com Vítimas Feridas";"Plena noite";"Crescente";"Ceu Claro";"Simples";"Reta";"Rural";4;0;3;1;0;0;4;2
83452151;"30/03/16";"Quarta";"13:10:00";"PB";101;"30,3";"MAMANGUAPE";"Defeito na via";"Colisão com objeto fixo";"Sem Vítimas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Reta";"Rural";1;0;0;0;1;0;0;1
83452152;"30/03/16";"Quarta";"13:50:00";"MG";116;"766";"LEOPOLDINA";"Falta de atenção";"Colisão Transversal";"Sem Vítimas";"Pleno dia";"Crescente";"Ceu Claro";"Simples";"Curva";"Urbano";2;0;0;0;2;0;0;2
83452153;"27/03/16";"Domingo";"00:05:00";"SC";116;"251";"LAGES";"Velocidade incompatível";"Saída de Pista";"Ignorado";"Plena noite";"Crescente";"Ceu Claro";"Simples";"Curva";"Rural";1;0;0;0;0;1;0;1
83452155;"30/03/16";"Quarta";"10:10:00";"MG";381;"524,5";"BRUMADINHO";"Outras";"Saída de Pista";"Sem Vítimas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Urbano";1;0;0;0;1;0;0;1
83452156;"29/03/16";"Terça";"18:00:00";"RS";470;"225";"GARIBALDI";"Ingestão de álcool";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Ceu Claro";"Simples";"Curva";"Urbano";2;0;0;1;1;0;1;2
83452157;"11/03/16";"Sexta";"13:39:00";"RJ";116;"200";"SEROPEDICA";"Outras";"Colisão com objeto fixo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Urbano";2;0;1;0;1;0;1;1
83452158;"30/03/16";"Quarta";"12:00:00";"CE";20;"254,8";"MADALENA";"Defeito na via";"Saída de Pista";"Sem Vítimas";"Pleno dia";"Crescente";"Chuva";"Simples";"Reta";"Rural";1;0;0;0;1;0;0;1
83452159;"28/03/16";"Segunda";"14:50:00";"SP";116;"153,9";"SAO JOSE DOS CAMPOS";"Não guardar distância de segurança";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Ceu Claro";"Simples";"Reta";"Urbano";2;0;0;0;2;0;0;2
83452162;"27/03/16";"Domingo";"12:00:00";"ES";262;"158,8";"IBATIBA";"Desobediência à sinalização";"Colisão Transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Ceu Claro";"Simples";"Cruzamento";"Urbano";2;0;1;0;1;0;1;2
